OPTIONS,FUTURES,COMMODITY,EXPIRY_MONTH
F,F,SOY,12
G,H,SOY,1
H,H,SOY,2
J,K,SOY,3
K,K,SOY,4
M,N,SOY,5
N,N,SOY,6
Q,Q,SOY,7
U,U,SOY,8
V,X,SOY,9
X,X,SOY,10
Z,F,SOY,11
F,F,MEAL,12
G,H,MEAL,1
H,H,MEAL,2
J,K,MEAL,3
K,K,MEAL,4
M,N,MEAL,5
N,N,MEAL,6
Q,Q,MEAL,7
U,U,MEAL,8
V,V,MEAL,9
X,Z,MEAL,10
Z,Z,MEAL,11
F,F,OIL,12
G,H,OIL,1
H,H,OIL,2
J,K,OIL,3
K,K,OIL,4
M,N,OIL,5
N,N,OIL,6
Q,Q,OIL,7
U,U,OIL,8
V,V,OIL,9
X,Z,OIL,10
Z,Z,OIL,11
F,H,CORN,12
G,H,CORN,1
H,H,CORN,2
J,K,CORN,3
K,K,CORN,4
M,N,CORN,5
N,N,CORN,6
Q,U,CORN,7
U,U,CORN,8
V,Z,CORN,9
X,Z,CORN,10
Z,Z,CORN,11
F,H,WHEAT,12
G,H,WHEAT,1
H,H,WHEAT,2
J,K,WHEAT,3
K,K,WHEAT,4
M,N,WHEAT,5
N,N,WHEAT,6
Q,U,WHEAT,7
U,U,WHEAT,8
V,Z,WHEAT,9
X,Z,WHEAT,10
Z,Z,WHEAT,11
F,H,KW,12
G,H,KW,1
H,H,KW,2
J,K,KW,3
K,K,KW,4
M,N,KW,5
N,N,KW,6
Q,U,KW,7
U,U,KW,8
V,Z,KW,9
X,Z,KW,10
Z,Z,KW,11
